text,aspect,y
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",RESTAURANT#PRICES,positive
Son resimde menü içerigini görebilirsiniz.,RESTAURANT#PRICES,positive
Öncelikle ortamini çok begendim.,AMBIENCE#GENERAL,positive
"Umdugumu degil buldugumu yedim - Arkadaslarim çok övdü, geldim yedim bitiremedim.",FOOD#QUALITY,negative
Yani güzel degildi.,FOOD#QUALITY,negative
Damak tadima hitap edemedi açikçasi.,FOOD#QUALITY,negative
Biberler kizartilmadan atilmis içine.,FOOD#QUALITY,negative
Bol yumurtali ve birkaç parça domates atilmis içine.,FOOD#QUALITY,negative
Adeta menemen degil biberli omlet olmus gibi.,FOOD#QUALITY,negative
Açik ayrani fena degildi.,DRINKS#QUALITY,neutral
Begendim diyebilirim.,RESTAURANT#GENERAL,positive
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,AMBIENCE#GENERAL,positive
hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.,FOOD#QUALITY,positive
dün gidip yeniden kahvalti etme firsati buldugum yer.,RESTAURANT#GENERAL,positive
iki kisi olarak bir kahvalti tabagina ek bir sepet patates ve bir menemen söyledik.,RESTAURANT#GENERAL,positive
ben arkadasim ve 2.5 yasindaki oglum rahatlikla doyduk.,FOOD#STYLE_OPTIONS,positive
bir kahvalti tabagi ile gelen çay ücretsizdi.,DRINKS#STYLE_OPTIONS,positive
yukaridaki masaya ek olarak 3 bardak çay ve su dahil 42 tl ücret ödedik.,RESTAURANT#PRICES,neutral
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,FOOD#PRICES,neutral
Sani Istanbul'un dört bir kösesine yayilmis durumda.,RESTAURANT#GENERAL,positive
Fakat benim çok yakinimda olmasina ragmen çok sik gitmeyi tercih etmiyorum.,RESTAURANT#GENERAL,neutral
Etine eyvallah fakat fiyat konusunda çok uçuklar.,RESTAURANT#PRICES,negative
Biraz daha ortamini sik hale dönüstürürlerse daha fazla müsteri çekeceklerine eminim.,AMBIENCE#GENERAL,negative
Bu kadar çok ve lezzetli çay çeşidini bir arada bulmak çok güzel.,FOOD#QUALITY,positive
"Karaköyün dar sokak aralarında, sokağa koyduğu masalarıyla insanı farklı bir atmosfere sürüklüyor.",AMBIENCE#GENERAL,positive
Servis çok özenli ve güzel.,SERVICE#GENERAL,positive
Müşterisi genç bir kitle.,RESTAURANT#GENERAL,neutral
Kül tablalarının dolu ve pis durması bana Starbucks'ı hatırlattı.,SERVICE#GENERAL,negative
Manzara'ya tabikide yıldızlı 5 !,AMBIENCE#GENERAL,positive
Dekorasyon da bir o kadar güzel.,AMBIENCE#GENERAL,positive
Eğer sabırlıysanız ve denize biraz daha yakın olayım diyorsanız iyi şanslar ne kadar bekleyeceğiniz bir muamma.,RESTAURANT#GENERAL,neutral
Tek kötü yanı bu olabilir burasının benim açımdan.,RESTAURANT#GENERAL,negative
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,AMBIENCE#GENERAL,positive
Aşk-ı Memnu'yu tatmayan kalmasın!,FOOD#QUALITY,positive
Burdaysanız mutlaka deneyin Kuş Yuvası yenmesi biraz zor bir tatlı ama o da güzel bir alternatif.,FOOD#QUALITY,positive
yazın dısarıda yer bulması epey zor.,AMBIENCE#GENERAL,neutral
fakat kızartma combosu bir harika.,FOOD#QUALITY,positive
sürekli kalabalik nedeniyle servis oldukca yavas.,SERVICE#GENERAL,negative
bazen bir hesabın gelmesi bile yarım saat sürebiliyor.,SERVICE#GENERAL,negative
Sadece ün yapmak işte hepsi bundan ibaret.,RESTAURANT#GENERAL,negative
Parasıyla almıyormuş gibi davran panpa konsept esinmesi bülent ersoyun fevkinde,AMBIENCE#GENERAL,negative
"3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı.",SERVICE#GENERAL,negative
"Masaları silen bir personel vardı bakarmısınız dedik,baktı ama bakmasamıydı.",SERVICE#GENERAL,negative
Bi dakka bekleyin işim var görüyorsunuz tarzı bir fırça.,SERVICE#GENERAL,negative
Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.,AMBIENCE#GENERAL,positive
Calisanlar pek ilgili degildi hesabi tam 17482 garsona soylememize ragmen yarim saat sonra geldi abartisiz.,SERVICE#GENERAL,negative
içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.,RESTAURANT#PRICES,positive
civarda sıcaktan bunalıp serinlemek istiyorsanız boğazın kenarındaki masalardan birine oturup canlı müzik eşliğinde soğuk birşeyler içebilirsiniz.,RESTAURANT#GENERAL,positive
Türk kahvesi de fena değil.,DRINKS#QUALITY,positive
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",AMBIENCE#GENERAL,positive
Arap turistlerin ugrak mekani.,AMBIENCE#GENERAL,positive
Lezzet eh iste.,FOOD#QUALITY,neutral
Ozetle manzara disinda bisey yok.,AMBIENCE#GENERAL,positive
Happy hour icin vazgecilmez nokta.,RESTAURANT#GENERAL,positive
Bence burgerleri ve pizzasi Kanyon'da yenebilecek acik ara en iyi.,FOOD#QUALITY,positive
Zincirler icinde tek tercih edilebilir yer.,RESTAURANT#GENERAL,positive
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.,FOOD#QUALITY,neutral
Neden bu kadar popüler oldugunu anlamiyorum.,RESTAURANT#GENERAL,negative
Hatta bazi pizzalarda dominosun benzerleri tercih edilebilir.,RESTAURANT#GENERAL,negative
Num Num gerçegi - Yediginiz herseyin hakkini verdikleri bir gerçek.,FOOD#QUALITY,positive
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,FOOD#QUALITY,positive
Manzaraya da sufleye de bayildik.,AMBIENCE#GENERAL,positive
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,AMBIENCE#GENERAL,positive
"Sufle 13,5 lira, çay 4,5 lira.",DRINKS#PRICES,neutral
Levent çarsinin içinde bulunan express daha genç bir görünüme sahip.,DRINKS#PRICES,neutral
Özellikle paket servisi için açilmis.,DRINKS#PRICES,neutral
Burada sulu yemek yok.,FOOD#STYLE_OPTIONS,neutral
Gençler ve ögrenciler için fiyatlari daha uygun tutmuslar.,RESTAURANT#PRICES,positive
Lahmacun döner burger pide ve köfte çesitleri mevcut.,FOOD#STYLE_OPTIONS,positive
Iftar menüsü 80 TL.,FOOD#PRICES,neutral
Ezogelin çorba çok tuzluydu.,FOOD#QUALITY,negative
Ve erken servis edildigi için iftara kadar sogudu.,SERVICE#GENERAL,negative
Içli köfte ve pirzola güzeldi.,FOOD#QUALITY,positive
Servis elemanlari yetersiz oldugu için yavasti.,SERVICE#GENERAL,negative
Her seyden öte böyle bir mekana bu tuvaletler hiç yakismiyor,AMBIENCE#GENERAL,negative
"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",DRINKS#STYLE_OPTIONS,negative
Hayal kırıklığı,RESTAURANT#GENERAL,negative
Bir kaç kez yemek yeme fırsatı bulduğum mekan.,RESTAURANT#GENERAL,negative
"Civardaki restorantlardan pek bir farkı yok, servisi yavaş.",SERVICE#GENERAL,negative
Fiyatlar da aynı şekilde civardakilerle hemen hemen aynı.,SERVICE#GENERAL,negative
Her deniz ürününü karıştırıp önünüze getiriyorlar.,FOOD#STYLE_OPTIONS,neutral
Açıkçası hicbirinin tadını tam alamiyorsunuz.,FOOD#STYLE_OPTIONS,negative
Balik ve deniz ürünlerini çok sevmeyenler Balik KFCsi kıvamında olduğu ve Kızartma bol olduğu için sevebilirler.,FOOD#STYLE_OPTIONS,positive
Sadece soya soslu somon başarılıydı.,FOOD#QUALITY,positive
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",RESTAURANT#GENERAL,positive
"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",FOOD#QUALITY,negative
Garsonu bu kadar uyardigimizda ise sadece iletirim dedi.,SERVICE#GENERAL,negative
Özür bile dilemediler.,SERVICE#GENERAL,negative
Machiato dediğim halde yerine espresso servis eden işletme.,SERVICE#GENERAL,negative
"Boş bardak, fincan, tabak masada bekliyor, toplayan yok.",SERVICE#GENERAL,negative
"Menüdeki çeşitleri sorunca, o yok, bu yok, onun yerine şunu verelim, bunu verelim.",FOOD#STYLE_OPTIONS,negative
"Kirli, iyi yıkanmamış bardakla çay servisi.",SERVICE#GENERAL,negative
Mado'nun genel hastalıklarının bir araya gelmiş hali gibi.,RESTAURANT#GENERAL,negative
Manzara satıyor burada da.,RESTAURANT#GENERAL,negative
Yoksa Mado'ların kötü bir örneği.,RESTAURANT#GENERAL,negative
"Haklarını yemeyelim, iki günlük gazete bulup okuyabildik.",RESTAURANT#GENERAL,negative
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,FOOD#QUALITY,positive
Mekan çok küçük hemen doluyor.,AMBIENCE#GENERAL,negative
Öglenleri yer bulamadigimiz çok oluyor.,SERVICE#GENERAL,negative
Genelde ürünler lezzetli ve fiyat da uygun .,FOOD#QUALITY,positive
Öglen için tercih edilebilir ama 12yi çok geçirmemek gerekiyor...,SERVICE#GENERAL,negative
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",AMBIENCE#GENERAL,positive
Mantarlı pizzaya ( porchini ve kestane) sucuk eklettim.,AMBIENCE#GENERAL,positive
Malzemeler güzel ama hamuru çok sevemedim.,FOOD#STYLE_OPTIONS,positive
Sanki hazır gibi geldi.,FOOD#STYLE_OPTIONS,positive
Genel olarak mekan şirin.,AMBIENCE#GENERAL,positive
Fiyatlar upper crust ayarında ama lezzet ve ölçü farklı.,AMBIENCE#GENERAL,positive
Karşılaştırırsak; bence upper crust hamur ve ölçü olarak daha iyi.,AMBIENCE#GENERAL,positive
Alkol olsa daha tutulabilirler.,DRINKS#STYLE_OPTIONS,negative
Çünkü bulundukları lokasyonda rakip çok.,DRINKS#STYLE_OPTIONS,negative
Hayatımın en pahalı yemeğini yediğim restoran.,FOOD#PRICES,negative
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,AMBIENCE#GENERAL,negative
Yemek porsiyonları çok küçük.,FOOD#STYLE_OPTIONS,negative
Vale hizmeti var.,SERVICE#GENERAL,neutral
Hayatınızda bir defa gidilebilecek bir yer.,SERVICE#GENERAL,neutral
Rock'n Roll burger yedim.,FOOD#QUALITY,neutral
Burger ekmegi yumusamis dagiliyordu.,FOOD#QUALITY,negative
Icinde ki sos da pek bi istah acici degildi.,FOOD#QUALITY,negative
Ortami guzel gidilecekse onun icin gidelebilir.,AMBIENCE#GENERAL,positive
"Mekan enteresan bir havaya sahip , haftaici aksamlari abiler ellerinde nargilelerle çayla muhabbetin dibine vururken.",AMBIENCE#GENERAL,neutral
Hafta sonu sabahlari ozellikle evli ve cocuklu ciftlerin kahvalti merkezi oluyor.,RESTAURANT#GENERAL,neutral
Yemeklerini ve caylarini begendigim.,FOOD#QUALITY,positive
Fiyat olarak gayet mantikli bir isletme.,RESTAURANT#PRICES,positive
Tavsiyemdir,RESTAURANT#GENERAL,positive
Kendilerine özel biraları mevcut olsaydı belki daha güzel olurdu ama standart biralardan içmek durumunda kaldık.,DRINKS#STYLE_OPTIONS,negative
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,SERVICE#GENERAL,positive
Yemekler de farklı tadlar var.,FOOD#STYLE_OPTIONS,positive
Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.,AMBIENCE#GENERAL,positive
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,FOOD#STYLE_OPTIONS,positive
Citys'in alt katındayken tanıdık sevdik.,RESTAURANT#GENERAL,positive
"Magnolia'sı ayrı, limonatası ayrı güzel.",FOOD#QUALITY,positive
Bir peynirli tostu bile çok özenle sunuyorlar.,SERVICE#GENERAL,positive
Somon ızgarasına 4 puan.,FOOD#QUALITY,neutral
Hem sağlıklı hem de doyurucu.,FOOD#QUALITY,positive
Güzel bir öğle yemeği molası.,FOOD#QUALITY,positive
Bahçesi de güzel.,AMBIENCE#GENERAL,positive
Salıncağı bile var.,AMBIENCE#GENERAL,positive
Yemek üzerine de soğuk kahve iyi gidiyor.,DRINKS#QUALITY,positive
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",AMBIENCE#GENERAL,positive
Kahvaltı seçenekleri çok iyi.,FOOD#STYLE_OPTIONS,positive
Yemekleri de fena değil.,FOOD#QUALITY,neutral
Tüm bu özelikleri göz önüne alınca fiyatlar çok makul geliyor.,RESTAURANT#PRICES,positive
"Gece, gündüz, her zaman için öneririm.",RESTAURANT#GENERAL,positive
Özellikle yaz aylarında.,RESTAURANT#GENERAL,positive
Besiktaki en hakiki pideci diyebilirim.,FOOD#QUALITY,positive
ben bu yuzden tatli yemegi tercih etmedim.,FOOD#QUALITY,negative
besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.,FOOD#STYLE_OPTIONS,negative
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,SERVICE#GENERAL,negative
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,FOOD#PRICES,neutral
puanimdan sirf yavas yuzunden kisiyorum!,SERVICE#GENERAL,negative
otobus duraginin hemen karsisinda yeri cok kolay.,LOCATION#GENERAL,positive
kucuk ama hep dolu olan bir pideci.,LOCATION#GENERAL,positive
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,FOOD#STYLE_OPTIONS,positive
servis oldukca yavas.,SERVICE#GENERAL,negative
yavas demek bile az kalir.,SERVICE#GENERAL,negative
az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz.,SERVICE#GENERAL,negative
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,SERVICE#GENERAL,neutral
"Manzarasi icin gidilesi cafe , cok fazla yazacak bisey yok.",AMBIENCE#GENERAL,positive
fiyatlar standart seviyede.,RESTAURANT#PRICES,neutral
otopark sorunu yok.,LOCATION#GENERAL,positive
sessiz sakin ve huzurlu bir mekan.,AMBIENCE#GENERAL,positive
Kuru fasulyesi lezzetli.,FOOD#QUALITY,positive
Sutlaci tavsiye edilir.,FOOD#QUALITY,positive
Köftesi de kaliteli.,FOOD#QUALITY,positive
Sade güzel bir yer.,AMBIENCE#GENERAL,positive
Çalışanlar ilgili kibar.,SERVICE#GENERAL,positive
Ortaköye yolu düşen ugramali.,RESTAURANT#GENERAL,positive
Park sorunu ciddi.,LOCATION#GENERAL,negative
Valesi var gerçi.,SERVICE#GENERAL,neutral
Pazar sabahları brunch dışında seçeneğiniz yok.,FOOD#STYLE_OPTIONS,negative
Brunch çeşitleri ehh.,FOOD#STYLE_OPTIONS,neutral
Masaya istenen sucuklu yumurtanın sucuğuna extra ücret istenmesi ayıp.,FOOD#PRICES,negative
Mekanın lokasyonu on numara ama rezervasyonsuz deniz kenarı masa bulmanız imkansız.,LOCATION#GENERAL,positive
"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",FOOD#PRICES,negative
"Hisarüstü'ndeki diğer mekanlara nazaran büyük olmasıyla fark yaratıyor ama eğer kalabalık bir grup değilseniz, Hisarüstü'ndeki diğer yerleri tercih edebilirsiniz.",FOOD#PRICES,negative
En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.,SERVICE#GENERAL,negative
"Tek kelimeyle muhtesem bir lezzet, doner kesimi tam olarak usta isi.",FOOD#STYLE_OPTIONS,positive
Yagsiz ve cok lezzetli.,FOOD#QUALITY,positive
Yaninda getirdikleri tandir lavasi ise bugune kadar yedigim en lezzetli lavas.,FOOD#QUALITY,positive
Oturdugunuz gibi siparisiniz aliniyor ve hemen servis yapilmaya baslaniyor.,SERVICE#GENERAL,positive
Ortaya ise salata ve patates kizartmasi getiriyolar.,FOOD#STYLE_OPTIONS,neutral
Acik ara en iyi donerci.,RESTAURANT#GENERAL,positive
Big chefs her daim şişirilmiş bir kafedir.,RESTAURANT#GENERAL,negative
Çünkü size oluru olmayan fiyatlar sunar.,RESTAURANT#PRICES,negative
Bunun yanı sıra şube açtığı semtler ortadadır.,RESTAURANT#PRICES,negative
İsim yapmıştır çünkü pahalı olduğu için kaliteli algısı yaratır .,RESTAURANT#PRICES,negative
"Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .",FOOD#PRICES,negative
Çünkü bu israftan başka bir şey değil benim nazarımda .,RESTAURANT#GENERAL,negative
Böyle mekanları biraz boş bırakmak lazım ki Fiyat skalasını biraz düşük aralığa taşısınlar !,RESTAURANT#PRICES,negative
"Tatlilar - Tatlilari çok güzel, tiramisu özellikle yenilmeli ama ana ögün kadar büyük geliyor dikkat!",FOOD#QUALITY,positive
"Unsuz çikolatali pastasi biraz agir, diyet yapanlar bulasmasin!",FOOD#QUALITY,negative
Yemeklerin tadi tuzu yok.,FOOD#QUALITY,negative
Ortam gürültüden ibaret.,AMBIENCE#GENERAL,negative
Garsonlar TV izlemekten size bakmiyor.,SERVICE#GENERAL,negative
Geçin allahaskina baska bir sürü yer var yenebilecek,RESTAURANT#GENERAL,negative
Güzel - Konum olarak çok keyifli bir yer degil ancak çalisirken ögle yemekleri için bazen gidiyoruz.,LOCATION#GENERAL,negative
"Yemeklerin lezzetine inanamayacaksiniz, pastirma ile yapilan Topkapi kebabi çok iyidir.",FOOD#QUALITY,positive
Koftenin hicbir ozelligi yok.,FOOD#QUALITY,negative
Hizmet yok guleryuz yok.,SERVICE#GENERAL,negative
Manzaranin ekmegini yiyorlar.,RESTAURANT#GENERAL,negative
Masalar dipdibe marketten dondurulmus kofte alin evinizde yiyebilirsiniz.,AMBIENCE#GENERAL,negative
Inanin fark yok.,AMBIENCE#GENERAL,negative
Siradan - Siradan kebaplari olan mekan...,FOOD#QUALITY,negative
Kebap için kesinlikle gidilmeli denemez ama tatlilari inanilmaz güzel.,FOOD#QUALITY,positive
Megerse meshur Çavusoglu tatlinin sahiplerimis isletmecileri.,FOOD#QUALITY,positive
Hizmetten cok memnun kaldik.,SERVICE#GENERAL,positive
Herkes cok ilgili ve guler yuzluydu.,SERVICE#GENERAL,positive
Yogunluktan dolayi yer bulma konusunda biraz sikinti yasamis olsak da sansimiza en guzel yeri kaptik balkonda :,SERVICE#GENERAL,positive
D Somon izgara ve etli quesadilla sipariz ettik.,FOOD#QUALITY,neutral
"Somon izgaranin altinda olan kuskonmazli ispanakli sote mukemmeldi, yemek ise genel olarak guzeldi.",FOOD#QUALITY,positive
Etli quesadillanin ise ozellikle eti cok guzeldi.,FOOD#QUALITY,positive
Mutlaka bir daha gelicez :,RESTAURANT#GENERAL,positive
Sevdiğim bir mekan.,RESTAURANT#GENERAL,positive
"Müzikler, bahçesi, menüsü güzel.",FOOD#STYLE_OPTIONS,positive
Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.,AMBIENCE#GENERAL,positive
Çalışanları da güler yüzlü.,SERVICE#GENERAL,positive
Girerken böyle bir yerle karşılaşacağınızı tahmin etmiyorsunuz konumu nedeniyle.,LOCATION#GENERAL,negative
Sütiş'in Emirgan şubesi gibi bu şubesinin manzarası da çok güzel deniz hemen yanınızda köprü hemen sağ çaprazda :,AMBIENCE#GENERAL,positive
) yemekler güzel fiyatlar da mekana göre gayet uygun.,RESTAURANT#PRICES,positive
Tavukgöğsü başarılı :,FOOD#QUALITY,positive
Berbat biyer rezervasyon yaptirdigim halde misafirlerime rezil oldum rezalet biyer calisanlarin tavirlari olsun ilgileri herseyi rezalet otesi,RESTAURANT#GENERAL,negative
Küçük Ev Express ile mekanist etkinligi ile tanistik.,RESTAURANT#GENERAL,negative
Çömlekte ev yapimi yogurtlarini mutlaka deneyin.,FOOD#QUALITY,positive
Böyle devam!,RESTAURANT#GENERAL,positive
) Her seyden ufak ufak tattik.,FOOD#QUALITY,neutral
Yemeklerde favorilerim döner ve kavurmali pide oldu.,FOOD#QUALITY,positive
Kavurmali pide için tekrar ugrayacagim.,FOOD#QUALITY,positive
Tatlilarda tavuk gögsü gerçekten lezizdi.,FOOD#QUALITY,positive
"Irmik helvasinin da tavuk gögsünden eksigi yoktu, sekeri kivamindaydi ve hafifti.",FOOD#QUALITY,positive
Eski zamanlar biraktigimiz gerçek yogurdun tadini yakalayacaksiniz.,FOOD#QUALITY,positive
Fiyati da saka gibi.,FOOD#PRICES,neutral
3.75 TL.,FOOD#PRICES,neutral
Mükellef bir yemek sonrasi ortalama 15-25 TL'ye mekandan çikabilirsiniz.,FOOD#PRICES,positive
"Dekorasyon zevkli olmus, özellikle mekanin ortasina konuslanmis bonsai agaç beni benden aldi.",AMBIENCE#GENERAL,positive
"Evet, bonsai hayraniyim!",AMBIENCE#GENERAL,positive
Çok iyi karsilandik ve sonuna kadar el üstünde tutulduk.,SERVICE#GENERAL,positive
Harikasiniz arkadaslar.,RESTAURANT#GENERAL,positive
"Buraya sık geliyorum, leventte çalışanların da çok tercih ettiği bir yer.",RESTAURANT#GENERAL,positive
Yemekleri eskiden daha güzeldi özellikle mantısı çok başarılıydı.,FOOD#QUALITY,neutral
"Ancak her gün çeşit çeşit ev yemeğinin çıkıyor olması çok cazip, ister zeytinyağlılar ister sıcak yemekler insanı her gün fast food yemekten alıkoyuyor.",FOOD#STYLE_OPTIONS,positive
"Zeytinyağlı tabağı başarılı, salatalarının da porsiyonu çok büyük tavsiye ederim.",FOOD#QUALITY,positive
denız kenarı gıbıdır ancak arada bır arsalık mesafe vardır.,FOOD#QUALITY,positive
ve oradakı koku olayına bır hal care bulamadıkları ıcın yazık olan mekandır.,AMBIENCE#GENERAL,negative
emırgandakı sutısı mumla aratmaktadır.,AMBIENCE#GENERAL,negative
Taksim'de kendi tarzına göre keyifle gidilecek mekanlardan biri.,RESTAURANT#GENERAL,positive
Gündüz ayrı gece ayrı olarak değerlendirebilirim.,RESTAURANT#GENERAL,positive
Hizmet kalitesi daha önce Avrupa'da gittiğim şubelere göre burada daha iyi diyebilirim.,RESTAURANT#GENERAL,positive
Bu yüzden tip bırakmayı unutmayın :,RESTAURANT#GENERAL,positive
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.,FOOD#QUALITY,positive
İçecek olarak genelde bira sevdiğim için kokteylleri için bir şey söyleyemeyeceğim.,DRINKS#QUALITY,neutral
Afiyetle!,FOOD#QUALITY,positive
Ben artık happy moons u beğenmiyorum.,RESTAURANT#GENERAL,negative
Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum.,SERVICE#GENERAL,positive
"Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem",RESTAURANT#GENERAL,negative
Öyle bir manzara ve konum için olabilecek son mekan filizler olmalıydı.,RESTAURANT#GENERAL,negative
Zaman kaybı!,RESTAURANT#GENERAL,negative
Yemekleri fena degil.,FOOD#QUALITY,neutral
Ozellikle zeytinyaglilari guzel.,FOOD#QUALITY,positive
Galata cevresinde zeytinyagli veya ev yemegivari yiyebilecegimiz nadir yerlerden oldugu icin tercih ediyorduk.,FOOD#QUALITY,positive
Ama dunyanin en yavas evlere servis hizmetini sunuyorlar.,SERVICE#GENERAL,negative
Hele de ogle saatinde 50 ile 70 dakika beklemeye hazir olun.,SERVICE#GENERAL,negative
Ogle saatleri degilse de 25-30 dk beklemeyi goze almak gerekiyor.,SERVICE#GENERAL,negative
En son soyledigimiz firinda makarnasi da kuru geldikten sonra bir daha siparis vermemeye karar verdik.,FOOD#QUALITY,negative
"Manzarasi çok güzel , dekorasyonda çok başarılıydı , kahvaltı için gittik kahvaltı güzeldi ama omleti beğenmedim çok tatsızdı.",FOOD#QUALITY,negative
Geri kalan hersey tazeydi kayısı ve cevizle süslemeleri çok hoşuma gitti kahvaltıya fresh bir hava katmışlar.,SERVICE#GENERAL,positive
Kahvaltısı için gidebilir ama garsonlar servis ederken gördüğüm kadarıyla yemek porsiyonları küçüktü ve sunum hoşuma gitmedi .,FOOD#STYLE_OPTIONS,negative
Kısacası manzarası için gidilebilinir bir yer sadece .,RESTAURANT#GENERAL,negative
"İlk Evlilik yıldönümü yemeğimizi burada yemiştik, karşılama gayet güzel kibar çalışanlar.",SERVICE#GENERAL,positive
Sunumu beğendik.,SERVICE#GENERAL,positive
Sakin mutlu bir yemekti.,AMBIENCE#GENERAL,positive
Tekrar gitmeyi düşünürüm.,RESTAURANT#GENERAL,positive
"Klasik rakı-balık-fasıl üçlemesinden sıkılan, ve mezelere odaklanmak isteyenler için en iyi alternatif.",FOOD#QUALITY,positive
Manzara olarak en iyi seçeneği sunmasa da lakerdası başta olmak üzere bütün mezeleri denemeye değer.,AMBIENCE#GENERAL,neutral
"Fıstıklı peynirli meze, buraya özel bir lezzet.",FOOD#QUALITY,positive
Kişi başı 60 liraya rakınız ve mezelerinizle güzel bir akşam geçirmeniz garanti.,RESTAURANT#PRICES,positive
"Konum itibariyle cok guzel yerde, manzarasi enfes.",AMBIENCE#GENERAL,positive
"Limonatasi kocaman ve lezzetliydi, ""ayvalik tostu""nu yeniden yorumlayarak tamamen farkli bir hale getirmisler, fena degildi.",DRINKS#STYLE_OPTIONS,positive
"Ancak mekanin en buyuk sıkıntısı hizmet kalitesi, cok cok yavaslar!",SERVICE#GENERAL,negative
"Ki bana gore bir mekanda olmasi gereken en onemli ozellik ""hizmet kalitesi"" En buyuk kurtaricisi lokasyon ve muhtesem bogaz manzarasi!",AMBIENCE#GENERAL,positive
Sinirsz kahvalti keyfi için harika bir yer.,FOOD#QUALITY,positive
Manzarasi cok güzel.,AMBIENCE#GENERAL,positive
Garsonlar biraz daha güler yüxlü olabilir.,SERVICE#GENERAL,negative
40 tl kisi basi.,RESTAURANT#PRICES,neutral
Zengin bir acik büfe menüsü var.,FOOD#STYLE_OPTIONS,positive
Keyifli bir yer.,RESTAURANT#GENERAL,positive
Son zamanların benim için en büyük hayal kırıklığı.,RESTAURANT#GENERAL,negative
Bu kadar büyük merakla gelip de yediklerimden bu kadar az haz ettiğim başka bir yer olmadı.,FOOD#QUALITY,negative
"Garson arkadaşlar, mekanın manzarası, hizmet şahane ama lezzet adına söyleyebileceğim çok şey yok.",AMBIENCE#GENERAL,positive
Köprü altı yerleri gibi kalamar koydular önümüze.,FOOD#QUALITY,negative
Bunu yazarken henüz hesap gelmemişti ve değerlendirmemi tamamen bağımsız şekilde yapıyorum.,FOOD#QUALITY,negative
Yeşilköy efsanesi burada sürmemiş,RESTAURANT#GENERAL,negative
